Title,Company,Experience,Salary,Location,Skills,Link
dot net full stack developer,overture rede,4-5 yrs,,chennai,"backend, version control, git, front end, coding, debugging, javascript, html",https://www.naukri.com/job-listings-dot-net-full-stack-developer-overture-rede-pvt-ltd-chennai-4-to-5-years-170924500745
dot net core azure developer,empenofore technologies,3-6 yrs,,gurugram,"azure, . net core, software development, dot net, c #, continuous integration, mvc, devops",https://www.naukri.com/job-listings-dot-net-core-azure-developer-empenofore-technologies-private-ltd-gurugram-3-to-6-years-170821500015
qa automation with c# dot net,relq technologies,3-6 yrs,,remote,"computer science, analytical skills, continuous integration, automation testing, manager quality assurance, c, automation tools, agile",https://www.naukri.com/job-listings-qa-automation-with-c-dot-net-relq-technologies-remote-3-to-6-years-170724501132
dot net developer,diverse lynx,4-9 yrs,,chennai,"analytical skills, performance tuning, enterprise architecture, cloud, .net, ssis, stakeholder management, troubleshooting",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-4-to-9-years-171222500673
junior asp dot net mvc developer,citymapia sotfware solutions,1-6 yrs,,kottayam,". net mvc, asp, sql, asp.net, net mvc, development, ado dot net, mvc",https://www.naukri.com/job-listings-junior-asp-dot-net-mvc-developer-citymapia-sotfware-solutions-kottayam-1-to-6-years-170721500140
dot net,techmayntra services,2-4 yrs,,ahmedabad,"computer science, software design, visual basic, agile, mvc, troubleshooting, technical support, sdlc",https://www.naukri.com/job-listings-dot-net-techmayntra-services-ahmedabad-2-to-4-years-170424501993
dot net developer,nway technologies,1-6 yrs,,indore,"jquery, architecture, coding, html5, javascript, system design, .net, html",https://www.naukri.com/job-listings-dot-net-developer-nway-technologies-pvt-ltd-indore-1-to-6-years-170522500675
dot net developer,asdra technologies,1-2 yrs,,madurai,"computer science, software design, architecture, software development life cycle, asp.net, mvc, troubleshooting, technical support",https://www.naukri.com/job-listings-dot-net-developer-asdra-technologies-madurai-1-to-2-years-170620500895
dot net developer,nestormind,2-5 yrs,,mohali,".net developer, development, .net, dot",https://www.naukri.com/job-listings-dot-net-developer-nestormind-pvt-ltd-mohali-2-to-5-years-170225505364
hiring dot net developer,"day in day out technologies pvt. ltd,",1-5 yrs,,noida,"performance tuning, server, development, analytical, software, silverlight, developing, wpf",https://www.naukri.com/job-listings-hiring-dot-net-developer-day-in-day-out-technologies-pvt-ltd-noida-1-to-5-years-170317501019
dot net programmers,geosys it solutions pvt ltd.,1-6 yrs,,"trivandrum, thiruvananthapuram","server, project management, development, analytical, project, networking, problem solving, it",https://www.naukri.com/job-listings-dot-net-programmers-geosys-it-solutions-pvt-ltd-trivandrum-thiruvananthapuram-1-to-6-years-170715503243
dot net developer,cybrient systems,3-6 yrs,,mohali,".net developer, development, dot, .net",https://www.naukri.com/job-listings-dot-net-developer-cybrient-systems-pvt-ltd-mohali-3-to-6-years-170225503856
dot net developer,trigem solutions,4-5 yrs,,aurangabad,"object oriented design, iis, jquery, linq, mcsd, javascript, entity framework, .net",https://www.naukri.com/job-listings-dot-net-developer-trigem-solutions-aurangabad-4-to-5-years-170322500666
dot net developer,kombee,2-5 yrs,,surat,"jquery, architecture, web application, javascript, entity framework, asp.net, html, mvc",https://www.naukri.com/job-listings-dot-net-developer-kombee-surat-2-to-5-years-170225503462
dot net developer,xduce technologies,8-13 yrs,,ahmedabad,"nunit, backend, git, analytical, database, manager technology, asp.net, microsoft",https://www.naukri.com/job-listings-dot-net-developer-xduce-ahmedabad-8-to-13-years-170323502434
dot net developer- windows application,mobilitysum technologies,3-6 yrs,,delhi,"multithreading, web services, rdbms, windows application, winforms, design development, asp.net, oracle",https://www.naukri.com/job-listings-dot-net-developer-windows-application-mobilitysum-technologies-private-limited-delhi-3-to-6-years-170720500176
dot net core developer,cis it solutions,2-3 yrs,,noida,"computer science, front end, git, coding, ssrs, javascript, html, ssis",https://www.naukri.com/job-listings-dot-net-core-developer-cis-it-solutions-p-ltd-noida-2-to-3-years-170424501986
senior dot net developer,propel technologies inc,3-8 yrs,,chennai,"business communication, san, backend, claims, pdf, coding, sms, troubleshooting",https://www.naukri.com/job-listings-senior-dot-net-developer-propel-technologies-chennai-3-to-8-years-170323502554
dot net developer - windows applications,gspan,4-7 yrs,,ahmedabad,"linq, mvvm, data structures, entity framework, windows, wcf, stored procedures, wpf",https://www.naukri.com/job-listings-dot-net-developer-windows-applications-gspan-automation-technologies-ahmedabad-4-to-7-years-170225505789
dot net solution / software architect,"sardonyx technologies pvt. ltd.,",7-12 yrs,,chennai,"project initiation, e commerce, net 4 0, mysql, project life cycle, wcf, mvc, wpf",https://www.naukri.com/job-listings-dot-net-solution-software-architect-sardonyx-technologies-pvt-ltd-chennai-7-to-12-years-170317500901
dot net developer - chennai,e*pro consulting service,6-10 yrs,,chennai,"parking, com, email, direct, asp.net, client interaction, stored procedures, night shift",https://www.naukri.com/job-listings-dot-net-developer-chennai-e-pro-consulting-service-chennai-6-to-10-years-170317501131
dot net architect,biznezbee,12-15 yrs,,chennai,"architect, performance tuning, ms sql, costing, javascript, healthcare, entity framework, application security",https://www.naukri.com/job-listings-dot-net-architect-biznezbee-india-pvt-ltd-chennai-12-to-15-years-170423500017
senior asp dot net mvc developer,citymapia sotfware solutions,5-10 yrs,,kottayam,". net mvc, asp, sql, .net, asp.net, senior, dot, ado dot net",https://www.naukri.com/job-listings-senior-asp-dot-net-mvc-developer-citymapia-sotfware-solutions-kottayam-5-to-10-years-170721500139
sr.full stack developer angular with dot net core,busisol sourcing (india),6-10 yrs,,chennai,"iis, software design, linq, coding, database design, debugging, javascript, mvc",https://www.naukri.com/job-listings-sr-full-stack-developer-angular-with-dot-net-core-busisol-sourcing-india-pvt-ltd-chennai-6-to-10-years-170321501351
dot net full stack developer,techefolks,3-6 yrs,,rangareddy,"ms sql, cloud services, postgresql, javascript, entity framework, asp.net, mvc, oracle",https://www.naukri.com/job-listings-dot-net-full-stack-developer-techefolks-rangareddy-3-to-6-years-170223504125
dot net developer,svaapta it-ally solutions,4-5 yrs,,vadodara,"ms sql, coding, ssrs, javascript, html, wcf, stored procedures, ssis",https://www.naukri.com/job-listings-dot-net-developer-svaapta-it-ally-solutions-vadodara-4-to-5-years-170223504090
dot net developer,itlabz technology,5-8 yrs,,ghaziabad,"web technologies, creative direction, web development, javascript, agile, entity framework, .net, http",https://www.naukri.com/job-listings-dot-net-developer-itlabz-technology-ghaziabad-5-to-8-years-170223504029
dot net developer,adms,3-8 yrs,,ahmedabad,"ms sql, jquery, soa, mysql, agile, corel draw, stored procedures, oracle",https://www.naukri.com/job-listings-dot-net-developer-adms-ahmedabad-3-to-8-years-170221500699
dot net developer,adms online,2-5 yrs,,ahmedabad,"server, tware implementation, soa, software, jquery, layer, stored procedures, sql",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-2-to-5-years-170216500902
dot net programmers/ team leader,base77,2-7 yrs,,delhi,"c#, , development, documents, asp net using c, testing, software programming, asp net",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-delhi-2-to-7-years-170216500340
full stack developer(dot net + angular),shaligram infotech,3-5 yrs,,ahmedabad,"postgresql, mysql, web development, javascript, agile, scrum, mvc, information technology",https://www.naukri.com/job-listings-full-stack-developer-dot-net-angular-shaligram-infotech-inc-ahmedabad-3-to-5-years-170125501522
azure expert with c# dot net and angular,relq technologies,3-7 yrs,,new delhi,"front end, version control, git, javascript, agile, entity framework, application development, analytics",https://www.naukri.com/job-listings-azure-expert-with-c-dot-net-and-angular-relq-technologies-new-delhi-3-to-7-years-170125500290
dot net mvc professional,jayamsoft global service llp,2-5 yrs,,surat,"mvc, net mvc, dot, .net",https://www.naukri.com/job-listings-dot-net-mvc-professional-jayamsoft-global-service-llp-surat-2-to-5-years-161224503878
"net / c# / dot net asp.net mvc, asp.net, asp.net core",blue lotus technologies,2-5 yrs,,chennai,"training, pdf, c, programming, .net, consultancy, mentor, lotus",https://www.naukri.com/job-listings-net-c-dot-net-asp-net-mvc-asp-net-asp-net-core-blue-lotus-technologies-pvt-ltd-chennai-2-to-5-years-161224501914
dot net developer,spur ai,1-4 yrs,,ahmedabad,".net developer, dot, development, .net",https://www.naukri.com/job-listings-dot-net-developer-spur-ai-ahmedabad-1-to-4-years-161224501808
"dot net core, angular professional",diverse lynx,2-7 yrs,,chennai,"backend, manager quality assurance, front end, agile development, .net, scrum, software quality, software solutions",https://www.naukri.com/job-listings-dot-net-core-angular-professional-diverse-lynx-chennai-2-to-7-years-161223500083
dot net azure devops professional,diverse lynx,3-8 yrs,,chennai,"training, version control, git, devops, debugging, software development life cycle, .net, troubleshooting",https://www.naukri.com/job-listings-dot-net-azure-devops-professional-diverse-lynx-chennai-3-to-8-years-161223500078
dot net developer,diverse lynx,4-9 yrs,,chennai,"analytical skills, performance tuning, web technologies, enterprise architecture, cloud, ssis, stakeholder management, troubleshooting",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-4-to-9-years-161222500678
dot net developer,diverse lynx,11-15 yrs,,chennai,"ms sql, vb.net, ado.net, sez, technical lead, .net, wcf, asp.net mvc",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-11-to-15-years-161122500991
dot net developer,infoneo,3-5 yrs,,noida,"web services, sql database, database security, javascript, wcf, mvc, stored procedures, unit testing",https://www.naukri.com/job-listings-dot-net-developer-infoneotechnologies-pvt-ltd-noida-3-to-5-years-161122500023
dot net programmers/ team leader,base77,3-5 yrs,,delhi,"c net, framework, team leader, documents, written communication, web technologies, testing, handling",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-delhi-3-to-5-years-161116500140
senior dot net / c# developer - india,pursuit software development,4-6 yrs,,kolkata,"ms sql, jquery, git, database design, x++, scrum, visual studio, unit testing",https://www.naukri.com/job-listings-senior-dot-net-c-developer-india-pursuit-software-development-pvt-ltd-kolkata-4-to-6-years-161024502191
dot net developer,priyanshtech solutions,1-2 yrs,,ahmedabad,"css, jquery, mvc framework, oops, javascript, html, mvc, bootstrap",https://www.naukri.com/job-listings-dot-net-developer-priyanshtech-solutions-ahmedabad-1-to-2-years-161019501485
dot net developer,diverse lynx,2-6 yrs,,chennai,"ms sql, change management, query optimization, incident management, wcf, stored procedures, test cases, ansi",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-2-to-6-years-160922502820
dot net developer,gunaatita technology pvt. ltd,2-5 yrs,,noida,"c#, server, development, btech, vbscript, software, documentation, testing",https://www.naukri.com/job-listings-dot-net-developer-gunaatita-technology-pvt-ltd-noida-2-to-5-years-160715501277
dot net programmers,geosys it solutions pvt ltd.,1-6 yrs,,"trivandrum, thiruvananthapuram","server, ado net, analytical, problem solving, it, windows, vb, ajax",https://www.naukri.com/job-listings-dot-net-programmers-geosys-it-solutions-pvt-ltd-trivandrum-thiruvananthapuram-1-to-6-years-160915500114
dot net | asp dot net developer,vmr vision,2-4 yrs,,dehradun,"asp.net, .net, development, dot, asp",https://www.naukri.com/job-listings-dot-net-asp-dot-net-developer-vmr-vision-dehradun-2-to-4-years-160819501114
dot net developer,nbit technologies,2-7 yrs,,kolkata,"c#, asp.net ajax, css, asp.net mvc, web services, software design, ajax, sql server",https://www.naukri.com/job-listings-dot-net-developer-nbit-technologies-kolkata-2-to-7-years-160724500991
dot net developer,samruva technaologies,2-5 yrs,,coimbatore,"jquery, .net framework, c, ado.net, oops, query, javascript, asp.net",https://www.naukri.com/job-listings-dot-net-developer-samruva-technaologies-coimbatore-2-to-5-years-160623501657
dot net developer,enlist management consultants pvt. ltd.,2-7 yrs,,chennai,"administration, pdf, ms access, web application, .net, agile methodology, stored procedures, wpf",https://www.naukri.com/job-listings-dot-net-developer-enlist-management-consultants-pvt-ltd-chennai-2-to-7-years-160323502431
dot net developer,maestrowiz solutions,2-5 yrs,,madurai,"c#, asp.net mvc, css, project management, team management, entity framework, ado.net, business development",https://www.naukri.com/job-listings-dot-net-developer-maestrowiz-solutions-madurai-2-to-5-years-160524501117
dot net developer,diverse lynx,2-6 yrs,,chennai,".net, development, dot",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-2-to-6-years-160523501673
dot net developer,hourglass it,2-7 yrs,,chennai,"jquery, linq, coding, database design, debugging, javascript, html, testing",https://www.naukri.com/job-listings-dot-net-developer-hourglass-it-chennai-2-to-7-years-160823500357
dot net and java trainers,quality data mill,4-8 yrs,,visakhapatnam,.net and java trainers,https://www.naukri.com/job-listings-dot-net-and-java-trainers-quality-data-mill-visakhapatnam-4-to-8-years-160724501355
senior dot net developer,nbit technologies,5-10 yrs,,kolkata,"c#, tendering, css, project management, c, boq, detail engineering, autocad",https://www.naukri.com/job-listings-senior-dot-net-developer-nbit-technologies-kolkata-5-to-10-years-160724500992
dot net developer,diverse lynx,2-6 yrs,,chennai,"mvc, asp, .net, dot, development",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-2-to-6-years-160523501672
dot net professional,diverse lynx,2-6 yrs,,chennai,"ms sql, front end, mysql, debugging, javascript, html, oracle, troubleshooting",https://www.naukri.com/job-listings-dot-net-professional-diverse-lynx-chennai-2-to-6-years-160523500156
dot net professionals,centroxy,5-12 yrs,,bhubaneswar,"san, ms sql, jquery, javascript, developer, application development, mvc, ssis",https://www.naukri.com/job-listings-dot-net-professionals-centroxy-bhubaneswar-5-to-12-years-160823500731
senior software engineer(ui developer),bpk tech,3-10 yrs,,lucknow,"it services, analytical skills, hr development, jquery, lead software, coding, saas, javascript",https://www.naukri.com/job-listings-senior-software-engineer-ui-developer-bpk-tech-lucknow-3-to-10-years-160524502761
dot net developer,diverse lynx,3-6 yrs,,chennai,"ms sql, vb.net, ado.net, programming, .net, wcf, asp.net mvc, ansi",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-3-to-6-years-160722500448
dot net professional,diverse lynx,1-6 yrs,,chennai,".net, dot",https://www.naukri.com/job-listings-dot-net-professional-diverse-lynx-chennai-1-to-6-years-160523501691
dot net professional,diverse lynx,2-6 yrs,,chennai,"ms sql, agile development, javascript, .net, mvc, microsoft, dot, development",https://www.naukri.com/job-listings-dot-net-professional-diverse-lynx-chennai-2-to-6-years-160523502134
lead - dot net core developer,rv solutions,6-10 yrs,,noida,"container, app support, kubernetes, soa, aks, azure devops, microservices, docker",https://www.naukri.com/job-listings-lead-dot-net-core-developer-rv-solutions-pvt-ltd-noida-6-to-10-years-160824500320
dot net,diverse lynx,12-15 yrs,,noida,"business process, web services, data security, technical design, devops, design development, application security, wcf",https://www.naukri.com/job-listings-dot-net-diverse-lynx-noida-12-to-15-years-160722500442
dot net developer training,krista technology,,unpaid,rajkot,,https://www.naukri.com/job-listings-dot-net-developer-training-krista-technology-rajkot-2-to-5-years-150724501324
dot net mvc developer,xcellence it,1-6 yrs,,surat,"jquery, coding, debugging, consulting, javascript, .net, html, sql",https://www.naukri.com/job-listings-dot-net-mvc-developer-xcellence-it-surat-1-to-6-years-160320501379
dot net programmers,geosys it solutions pvt ltd.,1-6 yrs,,"trivandrum, thiruvananthapuram","server, net asp net, ado net, analytical, problem solving, it, windows, vb",https://www.naukri.com/job-listings-dot-net-programmers-geosys-it-solutions-pvt-ltd-trivandrum-thiruvananthapuram-1-to-6-years-150915501223
dot net developer,fewerclicks software,2-4 yrs,,indore,"software design, git, mysql, debugging, data structures, entity framework, technical support, sdlc",https://www.naukri.com/job-listings-dot-net-developer-fewerclicks-labs-indore-2-to-4-years-160125503620
dot net programmer,zerosoft technologies,2-5 yrs,,thoothukudi,"basic, ms sql, c, analytical, javascript, entity framework, .net, html",https://www.naukri.com/job-listings-dot-net-programmer-zerosoft-technologies-thoothukudi-2-to-5-years-151024501414
dot net developers,tgs ventures,1-4 yrs,,noida,".net, developer, dot, development",https://www.naukri.com/job-listings-dot-net-developers-tgs-ventures-pvt-ltd-noida-1-to-4-years-150724501174
dot net application developer,vyapin software systems,1-2 yrs,,chennai,"system architecture, interpersonal skills, web services, soa, xml, architectural design, wpf, asp.net mvc",https://www.naukri.com/job-listings-dot-net-application-developer-vyapin-software-systems-p-ltd-chennai-1-to-2-years-150922501552
dot net programmers team leader,base77,2-3 yrs,,delhi,"c#, c, project coordination, testing, sound, management, verbal, client handling",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-delhi-2-to-3-years-160317500121
dot net developer,24x7 internet technologies,2-5 yrs,,new delhi,"ms sql, web technologies, c, sql database, mysql, asp.net, microsoft, .net",https://www.naukri.com/job-listings-dot-net-developer-24x7-internet-new-delhi-2-to-5-years-150922500440
dot net developer,technotree consulting,2-4 yrs,,gurugram,"iis, jquery, xml, entity framework, .net, html, json, windows",https://www.naukri.com/job-listings-dot-net-developer-technotree-consulting-llp-gurugram-2-to-4-years-151222501831
dot net developer,codenia technologies,1-2 yrs,,noida,"github, web services, web technologies, xml, postgresql, entity framework, asp.net, json",https://www.naukri.com/job-listings-dot-net-developer-codenia-technologies-llp-noida-1-to-2-years-160125500559
sr. dot net developer,carantoc software solutions,4-8 yrs,,dehradun,"software design, web development, debugging, programming, .net, asp.net mvc, information technology, technical support",https://www.naukri.com/job-listings-sr-dot-net-developer-carantoc-software-solutions-dehradun-4-to-8-years-160125500857
dot net full stack developer,ebix,2-7 yrs,,noida,"computer science, jquery, front end, coding, javascript, asp.net, html, stored procedures",https://www.naukri.com/job-listings-dot-net-full-stack-developer-ebix-software-india-pvt-ltd-noida-2-to-7-years-150923500434
dot net programmers/ team leader,base77,3-8 yrs,,delhi,"c#, , development, pr, documents, asp net using c, testing, software programming",https://www.naukri.com/job-listings-dot-net-programmers-team-leader-base77-delhi-3-to-8-years-160216500908
dot net developer,host right now technologies india,5-10 yrs,,jaipur,"c, code, technical, silverlight, entity framework, visual studio, microsoft, quality",https://www.naukri.com/job-listings-dot-net-developer-host-right-now-technologies-india-pvt-ltd-jaipur-5-to-10-years-151118500259
dot net solution software architect,"sardonyx technologies pvt. ltd.,",7-12 yrs,,chennai,"project initiation, net 4 0, project life cycle, wcf, mvc, wpf, project management software, team handling skills",https://www.naukri.com/job-listings-dot-net-solution-software-architect-sardonyx-technologies-pvt-ltd-chennai-7-to-12-years-160317500026
dot net developer,sal school of architecture,4-8 yrs,,not specified,"side, web technologies, agile, scrum, box, microsoft technologies, business executive, supervision",https://www.naukri.com/job-listings-dot-net-developer-sal-school-of-architecture-not-specified-4-to-8-years-151117502420
dot net technical lead,cg infinity,7-11 yrs,,noida,"production support, web development, javascript, application development, mvc, microsoft, sql, ajax",https://www.naukri.com/job-listings-dot-net-technical-lead-cg-infinity-noida-7-to-11-years-160125500540
dot net developer,lagran software solutions,8-13 yrs,,remote,"web services, ssrs, javascript, asp.net, wcf, mvc, ssis, monitoring",https://www.naukri.com/job-listings-dot-net-developer-lagran-software-solutions-remote-8-to-13-years-151223503033
dot net azure developer,the intect,8-10 yrs,,ahmedabad,"web technologies, analytical, paas, saas, manager technology, .net, microsoft azure, microservices",https://www.naukri.com/job-listings-dot-net-azure-developer-the-intect-ahmedabad-8-to-10-years-150922501487
dot net programmers,geosys it solutions pvt ltd.,1-2 yrs,,"trivandrum, thiruvananthapuram","server, ado net, analytical, problem solving, it, windows, vb, ajax",https://www.naukri.com/job-listings-dot-net-programmers-geosys-it-solutions-pvt-ltd-trivandrum-thiruvananthapuram-1-to-2-years-150715500495
dot net developer,wokontech it solution,1-5 yrs,,surat,"shell scripting, manager technology, dot, technology management, management, scripting, technology, .net",https://www.naukri.com/job-listings-dot-net-developer-wokontech-it-soultion-surat-1-to-5-years-150524501786
dot net developer,seasec,2-5 yrs,,mohali,".net developer, .net, dot, development",https://www.naukri.com/job-listings-dot-net-developer-seasec-pvt-ltd-mohali-2-to-5-years-141124505633
dot net developer,krista technology,1-6 yrs,,rajkot,"c, oops, javascript, asp.net, mvc, development, dot, .net",https://www.naukri.com/job-listings-dot-net-developer-krista-technology-rajkot-1-to-6-years-150724501163
dot net developer,sri hema infotech,1-4 yrs,,chennai,"sql server 2005 2008, c#, server, good communication skills, experience, web applications, windows, sql",https://www.naukri.com/job-listings-dot-net-developer-sri-hema-infotech-chennai-1-to-4-years-150715500796
dot net developer,infomaze technologies,2-7 yrs,,mysore,"benefits, server, development, microsoft, ajax, animation, asp net, xhtml",https://www.naukri.com/job-listings-dot-net-developer-infomaze-mysore-2-to-7-years-150715500165
dot net developer,pavian computer systems,2-5 yrs,,madurai,"com, server, web sed applications, technical, developing, microsoft, vb.net, ajax",https://www.naukri.com/job-listings-dot-net-developer-pavian-computer-systems-madurai-2-to-5-years-150216501569
dot net developer,sri hema infotech,1-2 yrs,,"chennai, chennai","sql server 2005 2008, server, development, good communication skills, windows applications, experience, web applications, windows",https://www.naukri.com/job-listings-dot-net-developer-sri-hema-infotech-chennai-chennai-1-to-2-years-150715500373
dot net developer,experts in solutions,1-5 yrs,,chennai,".net, developer, net, development, dot",https://www.naukri.com/job-listings-dot-net-developer-experts-in-solutions-chennai-1-to-5-years-150319500096
dot net & database developer,swast solutions,2-4 yrs,,gurugram,"backend, front end, c, architecture, coding, agile, database, asp.net mvc",https://www.naukri.com/job-listings-dot-net-database-developer-swast-solutions-private-limited-gurugram-2-to-4-years-141124505347
dot net developer:,adms,2-5 yrs,,ahmedabad,"server, tware implementation, soa, software, microsoft, jquery, layer, stored procedures",https://www.naukri.com/job-listings-dot-net-developer-adms-ahmedabad-2-to-5-years-150216501437
dot net project managers/ project leads,accusol technologies,4-8 yrs,,ahmedabad,"object oriented program, enterprise application, framework, solution design, design development, g, asp net 2 0, team management skills",https://www.naukri.com/job-listings-dot-net-project-managers-project-leads-accusol-technologies-pvt-ltd-ahmedabad-4-to-8-years-150216501492
dot net,sunarc technologies,2-7 yrs,,bikaner,"css, soa, unit testing, bootstrap, ajax, jquery, sql, cloud",https://www.naukri.com/job-listings-dot-net-sunarc-technologies-pvt-ltd-bikaner-2-to-7-years-150715503681
dot net developer,root info solutions,3-8 yrs,,delhi,"backend, jquery, coding, database design, mysql, html, data integrity, asp.net mvc",https://www.naukri.com/job-listings-dot-net-developer-root-info-solution-pvt-ltd-delhi-3-to-8-years-150620500723
dot net + angular developer,krista technology,2-7 yrs,,rajkot,"c, architecture, mvc architecture, asp.net, mvc, sql, .net, angular",https://www.naukri.com/job-listings-dot-net-angular-developer-krista-technology-rajkot-2-to-7-years-150724500916
dot net developer,rvs infosoft,2-5 yrs,,delhi,"xml, design patterns, html, pl sql, wpf, ssis, ajax, javascript",https://www.naukri.com/job-listings-dot-net-developer-rvs-infosoft-pvt-ltd-delhi-2-to-5-years-150216501524
dot net fullstack developer,cielhr,2-7 yrs,,chennai,"dot net, c#, .net core, mvc, angular, development, dot, .net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-ciel-hr-chennai-2-to-7-years-150325003989
dot net developer,xturion,3-8 yrs,,chennai,"server, development, oracle, information technology, soa, technical, software, microsoft certified",https://www.naukri.com/job-listings-dot-net-developer-xturion-chennai-3-to-8-years-150715504301
engineering manager,double hr consultancy,12-15 yrs,,"mumbai, mumbai suburban","fabrication, product management, manufacturing process, production engineering, ansys, scheduling, machine shop, engineering design",https://www.naukri.com/job-listings-engineering-manager-double-hr-consultancy-mumbai-mumbai-suburban-12-to-15-years-150323501060
dot net,diverse lynx,2-6 yrs,,chennai,"ms sql, vb.net, production support, ado.net, programming, .net, wcf, asp.net mvc",https://www.naukri.com/job-listings-dot-net-diverse-lynx-chennai-2-to-6-years-150722502835
dot net developer fresher in noida,right step consulting,1-5 yrs,,noida,"ms sql, software design, views, .net framework, application programming, javascript, .net, software",https://www.naukri.com/job-listings-dot-net-developer-fresher-in-noida-right-step-consulting-private-limited-noida-1-to-5-years-140717500160
dot net developer- freshers,right step consulting,1-5 yrs,,noida,"ms sql, bsc, jquery, layout, technical, html, json, mvc",https://www.naukri.com/job-listings-dot-net-developer-freshers-right-step-consulting-private-limited-noida-1-to-5-years-140717500163
dot net developer nagpur,pinnove,2-7 yrs,,nagpur,"assembly language, c, html, asp.net mvc, sql, six sigma, pmp, javascript",https://www.naukri.com/job-listings-dot-net-developer-nagpur-pinnove-nagpur-2-to-7-years-140917501005
dot net developer,ns global corporation,3-9 yrs,,rajkot,"computer science, linq, pdf, c, debugging, agile, entity framework, .net",https://www.naukri.com/job-listings-dot-net-developer-ns-global-corporation-rajkot-3-to-9-years-141124502430
dot net developers,ledx legal learning edutech,2-5 yrs,,indore,"software design, software development life cycle, manager technology, mvc, unit testing, monitoring, remedy",https://www.naukri.com/job-listings-dot-net-developers-ledx-legal-learning-edutech-private-limited-indore-2-to-5-years-140723502014
dot net application developer,vyapin software systems,1-2 yrs,,"chennai, chennai","c#, code, soa, technical, software, testing, developing, mca",https://www.naukri.com/job-listings-dot-net-application-developer-vyapin-software-systems-private-limited-chennai-chennai-1-to-2-years-140915500541
dot net developer,the intect,1-6 yrs,,noida,"system architecture, system testing, c++, software design, prototype, coding, test cases, unit testing",https://www.naukri.com/job-listings-dot-net-developer-the-intect-noida-1-to-6-years-140922500006
dot net,myfuturejob,3-4 yrs,,noida,"sql server 2008, linq, jquery, network administration, web technologies, javascript, asp.net, .net",https://www.naukri.com/job-listings-dot-net-myfuturejob-noida-3-to-4-years-141022501494
dot net developer,adms online,2-5 yrs,,ahmedabad,"server, soa, software, team player, jquery, layer, stored procedures, sql",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-2-to-5-years-140916501281
dot net core developers,injala,,unpaid,ahmedabad,,https://www.naukri.com/job-listings-dot-net-core-developers-injala-ahmedabad-2-to-10-years-140324501863
sr . dot net developer,robosol,3-8 yrs,,nagpur,"c++, ms sql, debugging, agile, xhtml, mvc, microsoft, sdlc",https://www.naukri.com/job-listings-sr-dot-net-developer-robosol-systems-private-limited-nagpur-3-to-8-years-140524501719
dot net developer,minivet system,2-5 yrs,,kolkata,"sql server 2008, css, jquery, linq, html5, javascript, asp.net, mvc",https://www.naukri.com/job-listings-dot-net-developer-minivet-system-kolkata-2-to-5-years-140324500550
dot net developer,nexithon global services pvt ltd.,2-5 yrs,,udaipur,"ms sql, iis, jquery, coding, http, wcf, mvc, ajax",https://www.naukri.com/job-listings-dot-net-developer-nexithon-global-services-pvt-ltd-udaipur-2-to-5-years-140723501522
dot net developer,my healthcare,3-5 yrs,,"dehradun, gurugram","solution architecture, jquery, c, linux, architecture, project management, mysql, mongodb",https://www.naukri.com/job-listings-dot-net-developer-my-healthcare-dehradun-gurugram-3-to-5-years-141123500717
dot net developer,pearlsoft technology,3-8 yrs,,"kochi, chennai","linq, git, coding, entity framework, .net, wcf, wpf, sdlc",https://www.naukri.com/job-listings-dot-net-developer-pearlsoft-technology-kochi-chennai-3-to-8-years-141024500465
dot net fullstack developer,the intect,8-18 yrs,,ahmedabad,"jquery, version control, git, coding, javascript, back office, entity framework, html",https://www.naukri.com/job-listings-dot-net-fullstack-developer-the-intect-ahmedabad-8-to-18-years-140922500605
dot net developer,diverse lynx,2-6 yrs,,gurugram,"software design, architecture, user support, .net, dot, development, design, software",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-gurugram-2-to-6-years-140922501746
dot net,mindtrilogy,5-10 yrs,,"noida, new delhi","iis, web technologies, coding, agile, .net, html, ajax, dot",https://www.naukri.com/job-listings-dot-net-mindtrilogy-noida-new-delhi-5-to-10-years-141023500524
dot net architect,the intect,8-18 yrs,,ahmedabad,"architect, msi, sitecore, web technologies, business analysis, umbraco, cms, .net",https://www.naukri.com/job-listings-dot-net-architect-the-intect-ahmedabad-8-to-18-years-140922500604
