Title,Company,Experience,Salary,Location,Skills,Link,Skills_List,Experience_Years
dot net developer with winforms,ram info ltd,5-10 yrs,Not Disclosed,hyderabad,ui development ms sql agile development ssrs winforms design development entity framework aspnet,https://www.naukri.com/job-listings-dot-net-developer-with-winforms-ram-info-ltd-hyderabad-5-to-10-years-220421501551,['ui development ms sql agile development ssrs winforms design development entity framework aspnet'],5
flight controls engineer,akkodis,3-5 yrs,Not Disclosed,bengaluru,software testing simulation control system aeronautical production engineering author embedded system design avionics,https://www.naukri.com/job-listings-flight-controls-engineer-akkodis-bengaluru-3-to-5-years-211223501054,['software testing simulation control system aeronautical production engineering author embedded system design avionics'],3
provetech test expertengineer,akkodis,2-6 yrs,Not Disclosed,bengaluru,istqb basic vbnet vba rf test management production engineering sil,https://www.naukri.com/job-listings-provetech-test-expert-engineer-akkodis-bengaluru-2-to-6-years-211223501122,['istqb basic vbnet vba rf test management production engineering sil'],2
developer automation ese,renault nissan technology and business centre india rntbci,3-5 yrs,Not Disclosed,chennai,catia analytical skills automation interpersonal skills production engineering business delivery research troubleshooting,https://www.naukri.com/job-listings-developer-automation-e-se-renault-nissan-technology-business-centre-indiapvt-ltd-chennai-3-to-5-years-210325500759,['catia analytical skills automation interpersonal skills production engineering business delivery research troubleshooting'],3
assistant manager  leadership hiring,indiamart,3-5 yrs,Not Disclosed,noida,talent acquisition team handling bulk hiring niche talent acquisition corporate recruiting stakeholder management corporate recruitment acquisition,https://www.naukri.com/job-listings-assistant-manager-leadership-hiring-indiamart-intermesh-ltd-noida-3-to-5-years-210325915914,['talent acquisition team handling bulk hiring niche talent acquisition corporate recruiting stakeholder management corporate recruitment acquisition'],3
dot net developer,mobineers info systems,4-7 yrs,4-9 lacs pa,lajpat,net mvc database mvc javascript c dotnet development c aspdotnrt,https://www.naukri.com/job-listings-dot-net-developer-mobineers-info-systems-lajpat-4-to-7-years-210325016122,['net mvc database mvc javascript c dotnet development c aspdotnrt'],4
hr talent acquisition specialist  health,fashion tv,2-10 yrs,Not Disclosed,mumbai,career development industry research retail networking talent acquisition social media diversity and inclusion wellness,https://www.naukri.com/job-listings-hr-talent-acquisition-specialist-health-fashion-tv-india-mumbai-2-to-10-years-210325505912,['career development industry research retail networking talent acquisition social media diversity and inclusion wellness'],2
dot net fullstack developer,people tech,1-3 yrs,Not Disclosed,hyderabad,ms sql css front end javascript entity framework net html aspnet mvc,https://www.naukri.com/job-listings-dot-net-full-stack-developer-peopletechgroup-hyderabad-1-to-3-years-210225503143,['ms sql css front end javascript entity framework net html aspnet mvc'],1
tech lead dot net,capestart,10-17 yrs,Not Disclosed,nagercoil chennai,front end soa agile software development life cycle entity framework html scrum mvc,https://www.naukri.com/job-listings-tech-lead-dot-net-capestart-software-private-limited-nagercoil-chennai-10-to-17-years-210225501742,['front end soa agile software development life cycle entity framework html scrum mvc'],10
aspnet developer,ids next,3-5 yrs,Not Disclosed,navi mumbai,aspnet webforms aspnet developer performance tuning dot net developer web forms sql server database development dot,https://www.naukri.com/job-listings-asp-net-developer-ids-next-navi-mumbai-3-to-5-years-210325905659,['aspnet webforms aspnet developer performance tuning dot net developer web forms sql server database development dot'],3
